procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7864756 286696 8174928    0    0     1   169    0    1 19  1 80  0  0
 1  0      0 7836672 286696 8175024    0    0     0   400 1821  797 15  6 79  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  845  883 38  5 57  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  813  684 47  4 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  807  675 45  6 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  803  673 47  4 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0     4  807  690 46  5 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0    28  815  718 47  4 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  798  680 45  6 49  0  0
 2  0      0 7761356 286696 8175044    0    0     0     0  796  681 46  6 49  0  0
 2  0      0 7758480 286696 8175048    0    0     0     0  906  873 48  4 47  0  0
 2  0      0 7758512 286696 8175048    0    0     0     0  827  710 46  5 49  0  0
 2  0      0 7758512 286696 8175048    0    0     0     0  825  719 47  4 49  0  0
 2  0      0 7758352 286704 8175048    0    0     0    52  892  828 47  5 48  0  0
 2  0      0 7758352 286704 8175048    0    0     0     0  840  747 48  4 48  0  0
 2  0      0 7754508 286704 8175048    0    0     0     0  870  784 47  4 49  0  0
 3  0      0 7754508 286704 8175048    0    0     0     0  843  693 48  4 48  0  0
 2  0      0 7754540 286704 8175048    0    0     0     0  881  769 46  5 49  0  0
 2  0      0 7754540 286704 8175048    0    0     0    44  913  824 47  4 49  0  0
 2  0      0 7753704 286704 8175076    0    0     0     0  922  815 47  4 49  0  0
 2  0      0 7750796 286704 8175084    0    0     0     0  865  726 48  4 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7750796 286704 8175084    0    0     0     8  818  689 48  3 49  0  0
 2  0      0 7750828 286704 8175084    0    0     0     0  834  707 46  5 49  0  0
 2  0      0 7753332 286704 8175088    0    0     0    56  849  776 47  4 49  0  0
 2  0      0 7753332 286704 8175088    0    0     0     0  806  682 45  6 49  0  0
 2  0      0 7753364 286704 8175088    0    0     0     0  817  709 47  5 49  0  0
 2  0      0 7753364 286704 8175088    0    0     0     0  799  671 45  6 49  0  0
 2  0      0 7753364 286704 8175088    0    0     0     0  851  725 48  4 49  0  0
 2  0      0 7753396 286704 8175088    0    0     0    84  826  672 46  5 49  0  0
 2  0      0 7753396 286704 8175088    0    0     0     0  787  637 47  4 49  0  0
 2  0      0 7752708 286704 8175088    0    0     0     0  864  747 46  6 48  0  0
 2  0      0 7752584 286704 8175088    0    0     0     4  786  560 47  4 49  0  0
 2  0      0 7752584 286704 8175088    0    0     0     0  780  614 48  3 49  0  0
 2  0      0 7752584 286704 8175088    0    0     0     0  781  642 46  5 49  0  0
 2  0      0 7752584 286704 8175088    0    0     0    32  811  670 47  4 49  0  0
 2  0      0 7752584 286704 8175088    0    0     0     0  784  635 46  5 49  0  0
 2  0      0 7752584 286704 8175092    0    0     0   100  814  652 48  4 49  0  0
 2  0      0 7752584 286704 8175092    0    0     0     0  806  687 46  5 49  0  0
 3  0      0 7752584 286704 8175092    0    0     0     0  773  645 48  3 49  0  0
 2  0      0 7752584 286704 8175092    0    0     0    16  794  654 46  5 49  0  0
 2  0      0 7752584 286704 8175092    0    0     0     0  783  638 48  3 49  0  0
 2  0      0 7752584 286704 8175092    0    0     0    12  801  680 46  6 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7752616 286704 8175092    0    0     0     0  818  674 46  5 49  0  0
 2  0      0 7752616 286704 8175092    0    0     0     0  797  663 47  4 49  0  0
 2  0      0 7752616 286704 8175096    0    0     0     0  791  655 47  4 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0    44  828  696 47  4 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  780  608 46  5 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  820  677 47  4 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  811  660 46  5 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  793  652 47  4 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0    16  814  675 46  5 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  779  645 48  3 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  823  669 47  4 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  828  723 46  5 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  840  704 47  4 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  801  663 46  5 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0    44  831  689 47  4 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  808  689 47  5 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  817  711 48  3 49  0  0
 2  0      0 7751252 286704 8175096    0    0     0     0  794  685 46  5 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0     0  821  682 47  4 49  0  0
 2  0      0 7751376 286704 8175096    0    0     0    40  850  686 46  5 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  849  751 46  6 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7754228 286704 8175096    0    0     0     0  827  757 46  5 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  798  724 47  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  801  701 48  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0    24  814  732 45  6 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  791  719 47  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  804  698 45  6 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  794  704 47  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  792  698 45  6 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0    76  806  732 47  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  818  704 45  6 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  824  727 47  4 49  0  0
 2  0      0 7754228 286704 8175096    0    0     0     0  833  755 46  5 49  0  0
 2  0      0 7752120 286704 8175096    0    0     0     0  804  669 46  5 49  0  0
lstm training finishs batch_size 32 layer_num 2 layer_size 100
 1  0      0 7846488 286704 8175080    0    0     0    16 1773  836 45  9 46  0  0
 2  0      0 7732652 286704 8175168    0    0     0     0 1146  923 35  6 59  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  737  582 48  3 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  714  525 49  1 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  717  528 48  3 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0    16  744  580 47  4 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  721  556 48  3 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  722  544 49  2 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7732528 286704 8175168    0    0     0     0  739  581 48  2 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  720  539 49  2 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0    16  739  575 46  4 50  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  736  587 48  3 49  0  0
 2  0      0 7732528 286704 8175168    0    0     0     0  708  530 48  3 49  0  0
 2  0      0 7728436 286704 8175172    0    0     0     0  758  625 48  3 49  0  0
 2  0      0 7728436 286704 8175172    0    0     0     0  715  529 48  3 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0    24  737  567 48  3 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  729  574 48  2 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  713  537 47  4 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  706  523 47  3 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  720  531 47  4 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0    16  722  528 48  2 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  714  524 47  3 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  717  533 49  2 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  714  523 48  3 50  0  0
 2  0      0 7728468 286704 8175172    0    0     0     0  697  491 48  3 50  0  0
 2  0      0 7728468 286704 8175172    0    0     0     8  731  522 48  3 49  0  0
 2  0      0 7728468 286704 8175172    0    0     0    28  739  560 50  2 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  734  562 46  5 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  713  503 48  3 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 7725988 286704 8175172    0    0     0     0  708  505 49  2 50  0  0
 2  0      0 7725988 286704 8175172    0    0     0     8  727  530 48  3 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  710  509 48  2 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0    16  720  536 48  3 48  1  0
 2  0      0 7725988 286704 8175172    0    0     0     0  716  524 49  2 50  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  727  541 47  3 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  721  520 48  3 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  719  523 47  4 50  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  743  566 49  2 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0    16  728  528 47  3 49  0  0
 2  0      0 7725988 286704 8175172    0    0     0     0  696  496 48  3 49  0  0
 2  0      0 7725172 286704 8175172    0    0     0     0  760  602 48  3 49  0  0
